Acedamic_percentage_in_Operating_Systems,percentage_in_Algorithms,Percentage_in_Programming_Concepts,Percentage_in_Software_Engineering,Percentage_in_Computer_Networks,Percentage_in_Electronics_Subjects,Percentage_in_Computer_Architecture,Percentage_in_Mathematics,Percentage_in_Communication_skills,Logical_quotient_rating,coding_skills_rating,self-learning_capability,Extra-courses_did,certifications,workshops,talenttests_taken,reading_and_writing_skills,memory_capability_score,Interested_subjects,interested_career_area,Job_Higher_Studies,Suggested_elective_Course
63,93,69,61,82,74,87,84,65,6,4,no,yes,python,cloud computing,yes,excellent,poor,programming,testing,job,33
77,86,67,84,90,77,93,66,83,6,4,yes,yes,machine learning,data science,no,excellent,excellent,networks,system developer,job,12
69,72,60,62,66,94,68,78,69,6,1,no,yes,shell programming,game development,yes,poor,medium,Management,testing,job,26
73,90,75,66,86,61,81,94,71,6,3,yes,yes,python,database security,yes,excellent,medium,hacking,developer,job,22
65,73,66,77,61,92,72,63,90,4,7,yes,yes,python,data science,yes,poor,excellent,Management,testing,higherstudies,18
77,70,87,80,70,86,93,66,67,8,7,no,no,shell programming,data science,no,medium,excellent,Software Engineering,security,higherstudies,11
64,67,79,71,71,64,67,93,67,7,1,no,yes,machine learning,web technologies,no,medium,medium,Software Engineering,cloud computing,higherstudies,32
67,86,84,70,76,61,66,70,81,1,2,yes,yes,information security,cloud computing,yes,excellent,excellent,programming,cloud computing,higherstudies,29
83,68,92,77,60,85,74,61,62,6,6,no,no,shell programming,database security,no,medium,excellent,Software Engineering,security,job,13
81,60,86,85,78,62,81,63,69,3,2,yes,yes,information security,game development,yes,medium,excellent,Computer Architecture,security,job,19
88,76,66,84,61,65,61,70,78,7,3,yes,yes,r programming,data science,no,medium,medium,IOT,security,job,25
72,76,78,91,72,62,64,62,62,7,4,no,no,hadoop,system designing,no,medium,excellent,parallel computing,developer,higherstudies,6
85,89,78,83,66,85,79,75,81,3,7,yes,no,python,cloud computing,yes,poor,poor,Software Engineering,developer,job,24
90,80,80,62,81,68,60,64,69,9,1,yes,yes,python,hacking,no,poor,poor,cloud computing,developer,higherstudies,33
69,82,79,79,93,74,94,89,62,7,3,no,yes,shell programming,system designing,no,excellent,excellent,cloud computing,Business process analyst,job,3
66,93,73,82,70,74,90,63,91,2,6,no,yes,r programming,data science,no,poor,medium,hacking,testing,job,31
87,69,65,79,72,66,64,60,66,7,3,yes,yes,hadoop,web technologies,no,medium,excellent,Computer Architecture,system developer,job,13
83,74,60,88,86,63,89,62,84,3,5,no,no,hadoop,database security,no,medium,medium,Computer Architecture,cloud computing,job,25
60,82,79,84,80,81,73,90,82,9,6,yes,no,information security,web technologies,no,excellent,medium,parallel computing,system developer,job,20
71,93,70,64,69,60,73,94,80,1,6,yes,yes,hadoop,hacking,no,poor,excellent,networks,system developer,job,15
89,92,74,87,67,63,92,70,70,4,3,no,no,shell programming,testing,yes,excellent,medium,cloud computing,system developer,higherstudies,10
91,75,79,69,60,73,70,76,73,7,8,yes,yes,r programming,web technologies,yes,poor,excellent,networks,cloud computing,higherstudies,3
61,65,75,88,72,60,68,76,62,6,2,no,no,distro making,game development,yes,excellent,poor,Management,Business process analyst,job,19
83,68,60,88,81,62,67,63,76,5,5,no,no,information security,database security,no,medium,excellent,hacking,system developer,job,10
93,87,78,88,73,68,94,76,81,7,8,no,yes,machine learning,database security,yes,poor,medium,Software Engineering,system developer,job,18
66,88,71,65,78,84,65,69,65,3,1,no,yes,information security,data science,no,medium,excellent,cloud computing,Business process analyst,job,8
65,79,64,84,79,74,76,74,64,7,3,yes,yes,full stack,hacking,no,excellent,medium,programming,developer,job,29
83,84,82,60,88,93,92,85,84,2,9,no,yes,information security,testing,yes,excellent,poor,data engineering,Business process analyst,job,27
91,83,62,89,87,94,84,75,63,8,1,yes,yes,app development,cloud computing,yes,excellent,excellent,Management,security,higherstudies,14
84,67,93,64,76,62,81,74,94,3,8,no,no,machine learning,system designing,no,medium,excellent,hacking,cloud computing,job,8
90,74,80,69,70,70,93,92,67,1,7,yes,no,shell programming,data science,yes,medium,medium,data engineering,testing,higherstudies,28
79,80,66,73,87,87,60,80,87,1,1,yes,yes,shell programming,web technologies,yes,excellent,excellent,programming,security,job,25
82,79,76,70,66,65,89,73,64,2,1,no,no,hadoop,testing,no,poor,poor,networks,security,job,0
77,92,64,67,82,81,94,73,80,2,7,yes,no,hadoop,database security,no,poor,excellent,hacking,system developer,job,26
94,85,68,74,60,72,67,78,88,7,9,yes,no,information security,system designing,no,medium,excellent,IOT,testing,higherstudies,4
86,89,67,74,73,74,81,76,91,5,9,yes,no,app development,hacking,yes,medium,medium,Computer Architecture,developer,higherstudies,8
63,87,86,92,70,84,63,60,93,3,1,yes,no,shell programming,database security,yes,excellent,excellent,parallel computing,developer,job,18
74,76,75,91,76,72,93,84,83,1,9,no,no,app development,game development,no,poor,medium,programming,cloud computing,job,14
65,68,73,70,79,80,92,79,89,2,6,no,yes,machine learning,web technologies,yes,poor,excellent,parallel computing,Business process analyst,higherstudies,29
92,81,75,77,74,63,94,92,62,8,6,yes,no,information security,hacking,yes,excellent,excellent,cloud computing,security,higherstudies,23
74,73,78,88,72,66,69,67,92,6,8,yes,no,information security,database security,no,medium,poor,networks,testing,job,3
85,88,64,78,82,71,65,76,66,8,7,yes,no,full stack,system designing,yes,medium,medium,programming,system developer,job,23
63,64,77,84,63,90,83,90,89,9,1,yes,no,shell programming,system designing,yes,poor,medium,IOT,Business process analyst,job,2
61,69,65,64,91,82,86,66,68,2,4,no,no,app development,system designing,no,medium,excellent,programming,testing,job,7
60,84,74,93,76,86,85,91,75,9,6,no,yes,machine learning,cloud computing,yes,excellent,poor,networks,security,higherstudies,3
92,89,79,85,71,72,86,65,88,4,8,no,yes,python,hacking,no,poor,poor,data engineering,system developer,job,9
76,63,62,86,87,89,92,80,63,2,7,yes,no,machine learning,cloud computing,yes,excellent,poor,Software Engineering,system developer,higherstudies,31
87,94,90,84,74,85,85,73,64,9,2,yes,no,app development,hacking,no,poor,excellent,parallel computing,developer,job,21
67,87,75,76,83,74,83,94,60,3,5,no,no,hadoop,system designing,yes,excellent,poor,data engineering,Business process analyst,job,33
69,88,82,76,65,85,81,84,76,2,8,no,no,r programming,data science,yes,excellent,excellent,data engineering,cloud computing,higherstudies,6
72,63,80,65,89,92,74,68,67,3,4,yes,no,hadoop,system designing,yes,excellent,poor,networks,testing,job,0
88,68,84,83,87,73,60,71,90,7,3,no,no,hadoop,game development,no,poor,poor,cloud computing,cloud computing,job,11
60,93,83,82,85,93,84,83,65,2,5,yes,yes,information security,data science,yes,poor,medium,Software Engineering,Business process analyst,higherstudies,4
66,77,78,79,85,80,92,68,73,8,2,yes,no,distro making,hacking,yes,excellent,excellent,programming,security,job,17
64,63,84,93,92,77,82,84,84,6,6,no,yes,full stack,data science,no,medium,excellent,data engineering,Business process analyst,job,0
74,71,63,73,72,77,61,64,73,1,4,yes,no,full stack,database security,no,medium,poor,programming,developer,higherstudies,19
90,89,81,86,79,82,88,69,89,4,9,yes,yes,python,web technologies,yes,medium,poor,hacking,developer,job,5
62,71,78,87,74,93,77,62,82,9,1,no,yes,shell programming,testing,no,medium,poor,parallel computing,security,job,30
60,80,88,88,76,83,70,77,67,5,8,no,no,hadoop,cloud computing,yes,poor,medium,parallel computing,testing,job,20
92,75,74,64,91,89,60,84,74,8,1,no,yes,hadoop,system designing,no,poor,medium,Computer Architecture,developer,job,8
77,82,77,68,70,61,89,87,89,4,1,no,yes,hadoop,game development,no,poor,excellent,cloud computing,Business process analyst,higherstudies,11
76,65,84,75,85,90,73,86,94,8,6,no,no,distro making,testing,no,poor,medium,cloud computing,Business process analyst,job,4
71,75,76,77,71,82,65,78,93,3,6,yes,yes,full stack,game development,no,excellent,poor,IOT,security,job,29
69,63,74,77,63,73,77,65,65,9,3,yes,no,hadoop,system designing,no,poor,poor,programming,Business process analyst,higherstudies,20
64,80,69,60,92,67,84,78,76,7,3,yes,no,information security,web technologies,yes,excellent,medium,programming,developer,job,16
72,68,85,84,64,80,63,92,64,3,2,no,no,full stack,system designing,yes,excellent,medium,cloud computing,testing,job,15
91,78,84,65,69,90,75,82,85,7,9,no,no,app development,web technologies,no,excellent,poor,data engineering,Business process analyst,higherstudies,10
62,88,76,82,90,87,78,68,89,8,4,yes,no,information security,data science,yes,medium,medium,cloud computing,Business process analyst,higherstudies,10
61,90,65,71,66,90,60,91,60,1,2,no,yes,full stack,system designing,no,medium,poor,Computer Architecture,Business process analyst,job,1
87,90,90,80,67,89,63,61,64,3,2,no,yes,shell programming,data science,yes,excellent,medium,programming,security,job,18
60,94,91,76,79,92,94,92,90,4,9,yes,no,app development,game development,yes,poor,medium,programming,system developer,job,1
60,72,88,83,93,77,70,74,83,7,6,no,yes,app development,data science,no,medium,poor,IOT,developer,job,15
75,75,90,68,62,82,63,91,84,8,6,no,yes,information security,data science,no,medium,poor,Software Engineering,system developer,job,28
66,89,91,69,79,73,83,69,77,3,5,no,no,machine learning,database security,yes,poor,excellent,IOT,system developer,job,22
64,91,60,68,91,84,79,91,83,1,8,yes,no,app development,hacking,yes,poor,excellent,programming,Business process analyst,higherstudies,1
80,63,78,78,71,64,64,83,93,2,3,no,yes,r programming,database security,yes,excellent,poor,networks,testing,job,27
66,67,94,93,62,62,87,67,69,1,4,no,yes,full stack,hacking,no,excellent,poor,data engineering,security,job,17
85,81,85,88,64,76,88,82,65,2,6,no,yes,r programming,system designing,yes,excellent,medium,parallel computing,security,higherstudies,32
84,92,64,76,86,63,68,64,81,7,4,yes,no,information security,system designing,no,poor,poor,programming,testing,job,18
74,80,83,79,89,79,71,75,60,8,8,no,yes,app development,cloud computing,yes,poor,excellent,cloud computing,system developer,job,19
61,74,93,84,79,66,80,93,94,9,8,yes,yes,full stack,hacking,yes,poor,medium,parallel computing,security,higherstudies,8
64,81,78,92,72,82,70,92,83,5,6,no,yes,machine learning,system designing,no,excellent,medium,cloud computing,Business process analyst,job,6
79,70,91,84,66,67,69,78,91,8,9,yes,no,python,hacking,no,medium,medium,cloud computing,testing,higherstudies,13
85,92,61,93,74,91,68,70,91,1,7,yes,yes,shell programming,cloud computing,no,medium,poor,programming,system developer,job,15
94,69,81,79,90,78,88,74,86,2,7,no,no,distro making,hacking,yes,excellent,medium,programming,developer,higherstudies,2
88,67,68,72,73,68,87,79,73,4,2,yes,yes,app development,database security,yes,poor,poor,Management,developer,job,21
90,87,73,76,64,83,69,92,61,7,4,no,yes,hadoop,hacking,no,medium,medium,hacking,testing,higherstudies,5
76,81,77,82,79,85,92,84,73,9,8,yes,no,python,web technologies,yes,poor,poor,parallel computing,developer,higherstudies,8
73,69,78,75,90,65,86,75,93,4,3,yes,yes,machine learning,system designing,no,excellent,medium,Computer Architecture,security,job,1
92,68,75,66,79,88,92,72,69,8,4,yes,yes,distro making,testing,no,poor,poor,hacking,testing,job,28
88,62,78,61,69,62,86,65,75,4,2,yes,yes,shell programming,web technologies,yes,poor,poor,data engineering,testing,job,32
69,72,80,78,92,91,76,74,77,2,3,yes,no,distro making,game development,yes,excellent,medium,Software Engineering,system developer,higherstudies,27
84,65,76,72,91,91,61,92,67,8,5,no,yes,full stack,game development,yes,medium,excellent,hacking,testing,higherstudies,33
89,80,70,60,60,72,88,63,87,9,9,yes,no,distro making,database security,no,poor,excellent,hacking,cloud computing,higherstudies,26
89,65,86,78,70,70,65,89,70,7,7,no,yes,full stack,database security,yes,medium,medium,IOT,Business process analyst,job,1
67,63,70,78,80,64,94,73,81,8,1,yes,yes,information security,game development,yes,excellent,poor,programming,developer,job,22
91,87,73,64,65,66,74,80,91,6,6,yes,no,app development,game development,yes,excellent,poor,parallel computing,testing,job,12
94,67,72,81,90,93,93,84,88,9,5,no,yes,distro making,web technologies,no,excellent,excellent,Software Engineering,Business process analyst,higherstudies,0
80,66,67,62,89,91,87,90,62,8,5,yes,yes,full stack,testing,yes,excellent,poor,Software Engineering,security,job,33
72,72,67,80,68,72,87,65,84,2,6,yes,no,full stack,database security,no,medium,excellent,Management,testing,higherstudies,33
65,82,71,92,69,71,68,74,88,1,2,yes,yes,full stack,database security,yes,excellent,poor,hacking,Business process analyst,higherstudies,8
79,68,69,70,91,91,77,80,90,4,4,yes,no,information security,testing,yes,excellent,poor,parallel computing,developer,higherstudies,20
91,65,84,76,81,77,75,94,70,1,4,yes,yes,full stack,cloud computing,no,poor,medium,networks,security,higherstudies,3
81,66,79,77,90,64,87,85,94,7,1,yes,no,information security,testing,yes,excellent,poor,parallel computing,Business process analyst,higherstudies,6
86,65,85,61,79,75,69,90,89,3,7,no,yes,app development,data science,no,poor,poor,data engineering,developer,job,14
91,80,79,78,82,71,89,62,63,7,8,yes,no,full stack,game development,yes,medium,excellent,Software Engineering,testing,job,13
60,81,64,73,74,86,86,85,60,7,1,no,yes,python,web technologies,no,medium,medium,hacking,cloud computing,higherstudies,2
80,90,86,64,71,70,89,84,81,1,5,yes,no,information security,cloud computing,no,poor,poor,Computer Architecture,system developer,job,8
89,63,83,87,69,71,74,82,61,6,8,yes,no,shell programming,web technologies,yes,medium,poor,programming,system developer,job,16
92,72,79,83,79,88,76,78,67,5,8,no,no,hadoop,data science,no,medium,excellent,data engineering,system developer,job,32
64,61,68,85,69,83,76,86,77,9,6,yes,yes,r programming,data science,yes,medium,medium,Software Engineering,security,job,26
91,69,88,78,77,86,71,72,69,4,8,no,yes,machine learning,data science,yes,medium,poor,IOT,testing,higherstudies,10
67,93,75,85,94,92,87,67,74,6,2,yes,no,r programming,hacking,no,medium,excellent,networks,cloud computing,higherstudies,16
66,77,87,65,87,71,66,68,83,7,5,yes,yes,distro making,data science,yes,poor,excellent,cloud computing,security,job,27
80,78,60,91,80,75,80,63,69,7,3,yes,yes,app development,database security,no,excellent,excellent,hacking,developer,higherstudies,3
94,90,69,64,67,86,94,72,84,7,9,yes,yes,r programming,system designing,no,excellent,poor,hacking,developer,higherstudies,5
76,85,85,91,79,74,84,73,85,9,6,no,no,app development,data science,yes,poor,excellent,parallel computing,cloud computing,higherstudies,22
77,73,82,70,78,73,76,87,74,7,5,yes,no,shell programming,game development,yes,medium,poor,parallel computing,security,higherstudies,29
89,78,75,62,86,76,93,82,70,8,9,yes,no,app development,web technologies,no,excellent,excellent,parallel computing,cloud computing,job,15
